Unnamed: 0,county name,state,county_population_increased_2015_2016,year,female_total_population,female_age_under_5_pct,female_age_5_to_9_pct,female_age_10_to_14_pct,female_age_15_to_19_pct,female_age_20_to_24_pct,female_age_25_to_29_pct,female_age_30_to_34_pct,female_age_35_to_39_pct,female_age_40_to_44_pct,female_age_45_to_49_pct,female_age_50_to_54_pct,female_age_55_to_59_pct,female_age_60_to_64_pct,female_age_65_to_69_pct,female_age_70_to_74_pct,female_age_75_to_79_pct,female_age_80_to_84_pct,female_age_85_and_over_pct,male_total_population,male_age_under_5_pct,male_age_5_to_9_pct,male_age_10_to_14_pct,male_age_15_to_19_pct,male_age_20_to_24_pct,male_age_25_to_29_pct,male_age_30_to_34_pct,male_age_35_to_39_pct,male_age_40_to_44_pct,male_age_45_to_49_pct,male_age_50_to_54_pct,male_age_55_to_59_pct,male_age_60_to_64_pct,male_age_65_to_69_pct,male_age_70_to_74_pct,male_age_75_to_79_pct,male_age_80_to_84_pct,male_age_85_and_over_pct
308,Walker County,Georgia,False,2010,34496,5.8,6.3,7.2,5.8,5.3,5.3,5.9,5.4,7.8,6.9,7.7,8.1,5.1,6.6,3.2,4.0,1.0,2.7,34265,5.8,7.8,7.2,6.8,5.2,5.2,6.7,5.9,8.0,7.7,7.5,6.4,6.5,6.5,1.9,3.6,0.5,0.7
1382,Walker County,Georgia,False,2011,35477,6.1,8.9,4.3,6.0,5.3,5.4,6.3,7.2,5.5,6.8,7.7,6.8,6.6,5.6,3.5,3.4,2.5,1.9,33371,5.1,7.6,6.0,6.4,5.9,5.9,7.3,7.0,6.6,7.5,7.6,5.8,7.9,5.9,2.5,1.9,2.2,0.9
2252,Walker County,Georgia,False,2012,34451,5.4,6.0,7.0,6.0,6.0,5.0,5.9,8.4,5.0,6.4,6.9,8.5,5.6,5.6,4.3,3.1,2.6,2.3,33643,6.0,8.5,4.5,6.6,5.3,5.2,6.1,7.4,6.7,9.0,7.2,8.9,5.0,5.4,3.0,1.9,1.1,2.3
3034,Walker County,Georgia,False,2013,34862,5.6,4.6,6.2,6.1,6.7,5.7,5.7,5.5,6.4,6.2,8.1,7.3,7.2,7.3,3.2,3.4,1.7,3.4,33336,6.0,6.7,6.7,8.0,4.4,6.8,6.1,6.1,7.4,6.9,7.7,8.1,5.2,5.3,3.6,2.8,2.0,0.3
3864,Walker County,Georgia,False,2014,34504,4.9,5.3,6.6,6.2,6.1,5.8,5.9,6.1,6.3,7.4,6.9,8.5,5.1,6.9,4.2,3.9,2.0,1.9,33714,6.8,5.7,7.3,8.7,4.7,5.7,5.6,6.2,7.2,6.3,7.8,7.5,5.6,6.2,3.3,2.3,1.5,1.7
4160,Walker County,Georgia,False,2015,34166,5.3,6.5,4.7,6.4,4.8,6.3,5.6,8.3,4.0,7.2,7.2,6.1,8.2,6.1,4.6,4.2,2.9,1.6,33900,5.4,8.8,4.5,8.0,7.0,6.1,5.3,7.8,5.7,6.2,7.7,6.6,6.7,4.9,4.1,3.2,1.1,1.1
309,Walton County,Georgia,True,2010,43827,7.4,7.3,8.5,5.9,5.4,5.1,5.9,6.4,8.8,7.8,6.7,6.6,4.4,5.1,2.4,2.4,2.1,1.9,40177,6.6,6.3,9.3,6.9,7.1,4.6,6.0,5.9,8.4,8.0,7.6,6.7,5.9,3.9,2.9,2.1,0.4,1.3
1383,Walton County,Georgia,True,2011,42123,5.1,5.9,6.7,8.2,4.7,6.2,6.4,6.7,7.7,8.9,6.4,6.7,5.5,5.7,2.4,3.0,2.5,1.1,42457,5.9,8.9,8.7,8.3,5.4,5.5,4.7,6.9,6.9,9.7,6.5,7.8,3.7,5.2,2.2,2.8,0.7,0.1
2253,Walton County,Georgia,True,2012,44720,5.4,8.5,7.4,7.3,4.6,5.4,7.3,6.2,9.2,7.1,5.7,6.0,5.1,4.1,3.6,1.9,1.7,3.5,39855,6.1,8.2,7.8,5.2,5.6,7.1,6.6,5.0,9.7,7.3,7.1,5.5,6.3,4.3,4.0,2.1,1.4,0.6
3035,Walton County,Georgia,True,2013,46502,7.1,6.3,7.9,6.3,6.6,4.4,5.7,7.3,7.2,6.4,7.2,5.3,7.6,4.2,3.7,2.5,1.7,2.5,39252,6.1,7.4,7.3,8.7,6.2,5.4,6.6,4.4,9.5,7.3,8.2,6.7,4.1,3.8,4.4,2.9,1.1,0.1
3865,Walton County,Georgia,True,2014,44936,6.1,6.1,8.3,5.8,6.4,5.7,6.4,7.4,6.6,6.8,7.0,7.1,4.8,5.0,3.8,3.2,1.5,1.9,42679,6.3,8.5,7.3,7.2,6.7,4.9,6.7,6.4,6.4,8.1,6.9,6.5,5.3,4.5,4.1,2.2,1.5,0.5
4161,Walton County,Georgia,True,2015,44616,6.0,5.1,7.8,6.7,5.6,6.5,5.6,5.4,7.2,7.8,7.9,6.2,5.7,5.2,3.9,3.3,1.9,2.0,43783,6.1,7.3,9.4,8.2,6.0,5.5,6.2,5.7,6.6,6.9,7.3,5.5,6.1,4.8,4.0,2.1,1.3,0.9
310,Whitfield County,Georgia,True,2010,51865,7.6,8.0,8.3,6.3,6.8,6.6,5.5,6.3,8.3,6.2,6.7,6.3,4.9,3.9,2.8,2.2,0.9,2.4,51069,7.7,8.8,7.8,7.0,7.1,7.3,6.3,7.9,7.1,7.0,6.2,6.6,3.7,2.9,3.1,1.7,1.0,0.7
1384,Whitfield County,Georgia,True,2011,51388,7.4,8.0,7.9,6.9,6.7,6.4,6.6,6.8,6.2,7.4,6.2,6.5,4.3,4.2,2.0,3.7,1.4,1.4,51796,8.2,7.7,8.7,7.3,7.1,6.8,7.1,5.3,9.1,6.5,6.0,6.0,5.1,4.3,1.5,2.2,1.0,0.3
2254,Whitfield County,Georgia,True,2012,51303,7.2,6.9,8.6,7.0,6.5,6.6,6.3,6.0,7.0,6.4,7.0,5.7,4.9,3.6,3.3,2.9,1.8,2.2,52056,8.2,6.8,9.4,7.6,8.3,6.1,6.8,6.7,6.3,6.6,7.1,5.5,4.3,3.3,3.3,1.1,1.5,1.2
3036,Whitfield County,Georgia,True,2013,51931,6.9,7.1,7.7,7.4,8.3,4.7,6.6,6.1,7.1,7.1,5.8,6.4,4.9,3.7,3.7,2.3,2.0,2.4,51014,7.6,7.7,8.8,6.3,8.0,6.7,6.6,5.6,8.5,6.3,6.3,6.8,4.0,3.6,3.1,2.6,0.7,0.8
3866,Whitfield County,Georgia,True,2014,52953,7.8,8.0,6.6,7.6,7.2,5.3,6.2,7.4,6.1,7.1,5.8,7.1,3.8,3.6,3.9,3.8,1.3,1.3,50589,6.5,7.1,8.5,8.1,7.9,6.1,7.0,5.9,7.6,6.8,6.5,6.4,4.3,3.9,2.8,2.6,1.4,0.5
4162,Whitfield County,Georgia,True,2015,52633,6.0,8.1,6.8,7.0,7.0,7.5,6.5,5.9,7.6,5.5,6.9,6.1,5.1,4.7,2.8,3.5,1.7,1.3,51583,8.4,8.1,7.3,7.2,6.7,6.5,7.2,7.3,5.6,6.7,6.8,6.3,5.2,3.4,3.5,1.8,1.5,0.5
